website,emails,phone_numbers
https://www.grofit.eu/,{'hi@grofit.eu'},set()
https://www.corrosionradar.com/,"{'hr@corrosionradar.com', 'info@corrosionradar.com'}",{'+441223608861'}
https://www.codioimpact.com/,"{'info@codioimpact.com', 'sonja@codioimpact.com', 'jobs@codioimpact.com', 'tilman@codioimpact.com'}",{'+491713186381'}
https://app.wasteout.ru/,set(),set()
https://www.agrionica.com/,set(),set()
https://www.cyberquant.org/,"{'contact@cyberquant.com', 'kontakt@spacedigitalgroup.com'}","{'+48574121782', '+48606933102'}"
https://plumetec.it/,{'srl@legalmail.it'},"{'+390264482393', '+390264482391', '2105159', '+390264482314'}"
https://www.ilovesnacks.co.uk/,"{'office@ilovesnacks.co.uk', 'info@ilovesnacks.co.uk', 'mark@bamboorocketapps.com'}","{'197624269', '09178679'}"
https://www.tukea.de/,"{'Datenschutz@jimdo.com', 'info@tukea.de', 'datenschutz@jimdo.com'}",set()
https://www.birch.earth/,"{'info@birch.earth', 'mark@bamboorocketapps.com'}",set()
http://benefacto.de/,{'info@benefacto.de'},{'+493060935653'}
https://www.circolution.com/,"{'max@circolution.com', 'duenya@circolution.com', 'kirils@circolution.com', 'alessandro@circolution.com', 'marina@circolution.com', 'info@circolution.com', 'frieda@circolution.com', 'jan@circolution.com'}",{'+491748995096'}
https://innova.co.uk/,"{'info@innovacapital.co.uk', 'info@themepunch.com', 'Kristianne@innova.co.uk', 'bellamy@octoenergy.com'}","{'07930434285', '+441242', '+441242436630', '+442045308369', '01242388633', '02037874320', '+442045', '01242371990'}"
https://www.tinyfoods.nl/,{'info@tinyfoods.nl'},{'0341842121'}
https://www.bioomix.com/,"{'ctv@bioomix.com', 'moa@bioomix.com', 'fm@bioomix.com', 'shs@bioomix.com', 'mp@bioomix.com', 'zs@bioomix.com', 'jma@bioomix.com', 'info@bioomix.com', 'rsj@bioomix.com', 'rca@bioomix.com'}",{'+4552114513'}
https://www.withdelve.com/,set(),set()
